iter	Passed	Remaining
0	5	5663
1	10	5015
2	14	4934
3	17	4332
4	21	4210
5	24	4121
6	28	4056
7	33	4184
8	37	4159
9	41	4112
10	43	3949
11	47	3922
12	51	3918
13	57	4073
14	62	4124
15	66	4080
16	72	4175
17	80	4399
18	85	4413
19	89	4370
20	94	4407
21	99	4416
22	103	4416
23	107	4381
24	111	4345
25	114	4306
26	119	4289
27	126	4388
28	139	4686
29	148	4788
30	163	5122
31	171	5186
32	175	5133
33	181	5150
34	185	5106
35	189	5087
36	196	5110
37	203	5150
38	210	5185
39	214	5143
40	219	5126
41	223	5092
42	230	5135
43	235	5126
44	240	5095
45	246	5117
46	252	5125
47	257	5114
48	263	5112
49	267	5076
50	273	5085
51	277	5055
52	282	5043
53	286	5026
54	290	4997
55	295	4980
56	300	4974
57	305	4959
58	310	4950
59	316	4954
60	319	4919
61	325	4922
62	328	4892
63	334	4892
64	338	4874
65	344	4882
66	350	4882
67	359	4922
68	363	4909
69	374	4981
70	382	5007
71	388	5007
72	394	5006
73	400	5006
74	403	4981
75	407	4959
76	417	5008
77	426	5039
78	430	5020
79	434	4997
80	440	4992
81	444	4977
82	449	4966
83	456	4976
84	463	4991
85	470	4997
86	475	4993
87	479	4973
88	487	4992
89	490	4963
90	496	4961
91	500	4938
92	505	4927
93	511	4927
94	516	4916
95	521	4909
96	526	4898
97	532	4897
98	536	4886
99	545	4905
100	550	4896
101	554	4878
102	559	4870
103	564	4863
104	568	4846
105	575	4851
106	581	4853
107	585	4836
108	589	4821
109	594	4806
110	598	4794
111	604	4790
112	609	4782
113	614	4774
114	619	4765
115	625	4763
116	629	4748
117	632	4730
118	638	4727
119	642	4711
120	647	4702
121	651	4690
122	656	4680
123	662	4683
124	670	4690
125	677	4697
126	681	4687
127	687	4686
128	692	4674
129	698	4677
130	703	4668
131	708	4659
132	714	4656
133	722	4671
134	727	4660
135	730	4640
136	736	4639
137	742	4640
138	747	4629
139	751	4616
140	756	4610
141	761	4600
142	766	4593
143	771	4583
144	774	4567
145	780	4565
146	783	4547
147	791	4557
148	795	4545
149	799	4531
150	804	4521
151	809	4513
152	813	4505
153	817	4491
154	822	4486
155	827	4479
156	835	4486
157	840	4480
158	845	4472
159	850	4467
160	854	4454
161	860	4449
162	864	4441
163	867	4423
164	871	4411
165	876	4403
166	881	4396
167	885	4383
168	889	4375
169	895	4371
170	898	4355
171	902	4346
172	906	4332
173	910	4323
174	915	4316
175	921	4315
176	927	4310
177	933	4310
178	937	4300
179	941	4288
180	945	4280
181	950	4273
182	955	4266
183	959	4257
184	963	4242
185	967	4235
186	975	4240
187	981	4238
188	989	4244
189	994	4240
190	999	4231
191	1005	4229
192	1008	4215
193	1011	4202
194	1018	4203
195	1024	4203
196	1029	4198
197	1034	4191
198	1037	4177
199	1042	4170
200	1053	4187
201	1057	4179
202	1063	4176
203	1071	4180
204	1077	4178
205	1082	4172
206	1086	4161
207	1090	4152
208	1096	4148
209	1099	4137
210	1105	4132
211	1110	4128
212	1115	4122
213	1120	4116
214	1125	4110
215	1132	4108
216	1136	4099
217	1140	4090
218	1144	4080
219	1148	4072
220	1154	4069
221	1159	4062
222	1163	4053
223	1168	4047
224	1173	4043
225	1178	4036
226	1182	4027
227	1187	4019
228	1189	4006
229	1194	3998
230	1197	3987
231	1201	3976
232	1204	3964
233	1210	3961
234	1214	3951
235	1217	3940
236	1222	3935
237	1227	3931
238	1232	3923
239	1237	3919
240	1242	3911
241	1246	3903
242	1251	3897
243	1256	3892
244	1260	3885
245	1266	3882
246	1270	3874
247	1276	3870
248	1281	3865
249	1287	3862
250	1294	3861
251	1299	3856
252	1304	3851
253	1308	3843
254	1312	3835
255	1318	3830
256	1323	3827
257	1329	3822
258	1332	3813
259	1337	3807
260	1342	3800
261	1345	3790
262	1353	3791
263	1359	3788
264	1362	3777
265	1366	3770
266	1370	3761
267	1373	3752
268	1378	3744
269	1382	3738
270	1386	3730
271	1392	3726
272	1397	3721
273	1401	3714
274	1407	3711
275	1412	3704
276	1417	3700
277	1423	3695
278	1427	3688
279	1433	3686
280	1438	3679
281	1442	3672
282	1449	3672
283	1453	3665
284	1458	3659
285	1463	3653
286	1469	3649
287	1474	3644
288	1478	3637
289	1484	3633
290	1488	3626
291	1492	3619
292	1496	3612
293	1502	3608
294	1507	3602
295	1512	3596
296	1516	3589
297	1521	3584
298	1526	3577
299	1529	3568
300	1533	3562
301	1537	3553
302	1541	3546
303	1545	3539
304	1548	3528
305	1551	3519
306	1555	3512
307	1559	3503
308	1564	3497
309	1568	3490
310	1571	3481
311	1576	3477
312	1580	3469
313	1585	3464
314	1590	3457
315	1593	3448
316	1597	3441
317	1601	3434
318	1605	3426
319	1608	3418
320	1613	3412
321	1617	3404
322	1619	3395
323	1623	3387
324	1627	3380
